<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.SBRF-9.19;60;20180913;160000;18131.0000000;21072.0000000;17384.0000000;17514.0000000;25
SPFB.SBRF-9.19;60;20180913;170000;20149.0000000;20150.0000000;20149.0000000;20150.0000000;5
SPFB.SBRF-9.19;60;20180917;130000;18627.0000000;18627.0000000;18626.0000000;18626.0000000;2
SPFB.SBRF-9.19;60;20180918;140000;20035.0000000;20827.0000000;19075.0000000;19075.0000000;12
SPFB.SBRF-9.19;60;20180918;160000;18763.0000000;18763.0000000;18753.0000000;18753.0000000;10
SPFB.SBRF-9.19;60;20180918;200000;20541.0000000;20547.0000000;20541.0000000;20547.0000000;8
SPFB.SBRF-9.19;60;20180918;210000;19111.0000000;19111.0000000;19111.0000000;19111.0000000;1
SPFB.SBRF-9.19;60;20180919;130000;18855.0000000;20594.0000000;18289.0000000;20594.0000000;80
SPFB.SBRF-9.19;60;20180919;180000;18753.0000000;20568.0000000;18747.0000000;20568.0000000;13
SPFB.SBRF-9.19;60;20180919;200000;20625.0000000;20695.0000000;20625.0000000;20695.0000000;2
SPFB.SBRF-9.19;60;20180919;210000;18915.0000000;18915.0000000;18914.0000000;18914.0000000;2
SPFB.SBRF-9.19;60;20180921;140000;19940.0000000;19940.0000000;19940.0000000;19940.0000000;1
SPFB.SBRF-9.19;60;20180926;130000;19320.0000000;19320.0000000;19001.0000000;19001.0000000;4
SPFB.SBRF-9.19;60;20180928;170000;21079.0000000;21079.0000000;21079.0000000;21079.0000000;1
SPFB.SBRF-9.19;60;20181004;150000;19218.0000000;19218.0000000;19218.0000000;19218.0000000;1
SPFB.SBRF-9.19;60;20181004;180000;19200.0000000;19200.0000000;19200.0000000;19200.0000000;9
SPFB.SBRF-9.19;60;20181004;190000;19299.0000000;19399.0000000;19200.0000000;19200.0000000;5
SPFB.SBRF-9.19;60;20181004;210000;19200.0000000;19200.0000000;19200.0000000;19200.0000000;28
SPFB.SBRF-9.19;60;20181008;120000;19050.0000000;19050.0000000;19000.0000000;19000.0000000;4
SPFB.SBRF-9.19;60;20181008;220000;19300.0000000;19300.0000000;19300.0000000;19300.0000000;2
SPFB.SBRF-9.19;60;20181010;150000;19800.0000000;19999.0000000;19800.0000000;19999.0000000;17
SPFB.SBRF-9.19;60;20181010;180000;19945.0000000;19945.0000000;19945.0000000;19945.0000000;4
SPFB.SBRF-9.19;60;20181010;190000;19700.0000000;19700.0000000;19700.0000000;19700.0000000;20
SPFB.SBRF-9.19;60;20181011;110000;19693.0000000;19694.0000000;19693.0000000;19694.0000000;3
SPFB.SBRF-9.19;60;20181011;140000;19001.0000000;19001.0000000;19000.0000000;19000.0000000;2
SPFB.SBRF-9.19;60;20181011;160000;19498.0000000;19599.0000000;19498.0000000;19599.0000000;2
SPFB.SBRF-9.19;60;20181011;170000;19598.0000000;19850.0000000;19598.0000000;19850.0000000;11
SPFB.SBRF-9.19;60;20181012;150000;19650.0000000;19999.0000000;19650.0000000;19849.0000000;6
SPFB.SBRF-9.19;60;20181012;160000;19899.0000000;19899.0000000;19899.0000000;19899.0000000;2
SPFB.SBRF-9.19;60;20181015;110000;21040.0000000;21040.0000000;19246.0000000;19246.0000000;2
SPFB.SBRF-9.19;60;20181016;110000;19948.0000000;19948.0000000;19948.0000000;19948.0000000;1
