Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
05.03.2018;;28223;;;;;;;;;;;;
06.03.2018;27314;27934;28319;28319;26308;26308;;1;2;54627;2;55868;2;
07.03.2018;;27901;;;;;;;;;;55802;2;
09.03.2018;27210;27934;28186;28186;26233;26233;;1;2;54419;2;55868;2;
12.03.2018;27506;27962;27987;27987;27024;27024;3,02;2;2;110022;4;167772;6;
13.03.2018;;27848;;;;;;;;;;167088;6;
14.03.2018;27249;26638;27898;28750;26153;26153;;1;10;572221;21;372932;14;
15.03.2018;;26021;;;;;;;;;;364294;14;
16.03.2018;26127;26626;26484;26944;25194;26944;;1;11;418035;16;319512;12;
19.03.2018;25911;25911;25911;25911;25911;25911;-3,83;1;1;25911;1;362754;14;
20.03.2018;25692;25831;25736;25736;25648;25648;-1,02;1;2;51384;2;464958;18;
21.03.2018;;27247;;;;;;;;;;490446;18;
22.03.2018;;27056;;;;;;;;;;487008;18;
23.03.2018;;26644;;;;;;;;;;479592;18;
26.03.2018;26100;26100;26100;26100;26100;26100;;1;1;26100;1;522000;20;
27.03.2018;;26433;;;;;;;;;;528660;20;
28.03.2018;;26068;;;;;;;;;;521360;20;
29.03.2018;;26017;;;;;;;;;;520340;20;
30.03.2018;;26123;;;;;;;;;;522460;20;
02.04.2018;;25814;;;;;;;;;;516280;20;
03.04.2018;24677;25238;24677;24677;24677;24677;;1;2;49354;2;454284;18;
04.04.2018;;25870;;;;;;;;;;465660;18;
05.04.2018;;26503;;;;;;;;;;477054;18;
06.04.2018;26286;26285;26286;26286;26285;26285;;1;2;52571;2;578270;22;
09.04.2018;24310;22605;25350;25350;22605;22605;-14,00;1;8;340339;14;587730;26;
10.04.2018;22630;22537;22630;22630;22630;22630;0,11;1;1;22630;1;540888;24;
11.04.2018;22000;21734;22000;22000;22000;22000;-2,78;1;1;22000;1;565084;26;
12.04.2018;;21793;;;;;;;;;;566618;26;
13.04.2018;;21165;;;;;;;;;;550290;26;
16.04.2018;20504;20071;20504;20504;20504;20504;;1;1;20504;1;481704;24;
17.04.2018;21449;21449;21449;21449;21449;21449;4,61;1;1;21449;1;471878;22;
18.04.2018;21999;22000;21999;22000;21997;22000;2,57;1;5;241986;11;220000;10;
19.04.2018;22014;22071;21616;22411;21616;22411;1,87;2;2;88054;4;220710;10;
20.04.2018;;22105;;;;;;;;;;221050;10;
23.04.2018;22320;22396;22320;22320;22320;22320;;1;1;22320;1;268752;12;
24.04.2018;23000;23000;23000;23000;23000;23000;3,05;1;1;23000;1;230000;10;
25.04.2018;;22460;;;;;;;;;;224600;10;
26.04.2018;;22274;;;;;;;;;;222740;10;
27.04.2018;;22643;;;;;;;;;;226430;10;
28.04.2018;;22486;;;;;;;;;;224860;10;
30.04.2018;;22753;;;;;;;;;;227530;10;
02.05.2018;;22810;;;;;;;;;;228100;10;
03.05.2018;23024;23050;22997;23050;22997;23050;;1;2;46047;2;276600;12;
04.05.2018;;23068;;;;;;;;;;276816;12;
07.05.2018;;23163;;;;;;;;;;277956;12;
08.05.2018;23050;23050;23050;23050;23050;23050;;1;1;23050;1;322700;14;
10.05.2018;23510;23520;23500;23520;23500;23520;2,04;1;2;47020;2;423360;18;
11.05.2018;;23737;;;;;;;;;;427266;18;
14.05.2018;;23779;;;;;;;;;;428022;18;
15.05.2018;;23565;;;;;;;;;;424170;18;
16.05.2018;23113;22990;23350;23350;22990;22990;;1;3;69340;3;367840;16;
17.05.2018;;23339;;;;;;;;;;373424;16;
18.05.2018;23000;23000;23000;23000;23000;23000;;2;1;46000;2;414000;18;
21.05.2018;;22714;;;;;;;;;;408852;18;
22.05.2018;;22752;;;;;;;;;;409536;18;
23.05.2018;;22425;;;;;;;;;;403650;18;
24.05.2018;;22425;;;;;;;;;;403650;18;
25.05.2018;22435;22400;22500;22500;22400;22400;;1;4;112175;5;582400;26;
28.05.2018;;22193;;;;;;;;;;577018;26;
29.05.2018;22257;22164;22350;22350;22164;22164;;1;2;44514;2;664920;30;
30.05.2018;22001;22253;22001;22001;22000;22000;-0,74;1;2;44001;2;623084;28;
31.05.2018;;22179;;;;;;;;;;621012;28;
01.06.2018;22300;22300;22300;22300;22300;22300;;1;1;22300;1;669000;30;
04.06.2018;;22200;;;;;;;;;;666000;30;
05.06.2018;21800;21800;21800;21800;21800;21800;;1;1;21800;1;697600;32;
06.06.2018;;21855;;;;;;;;;;699360;32;
07.06.2018;;21901;;;;;;;;;;700832;32;
