Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
13.06.2018;;21253;;;;;;;;;;;;
14.06.2018;;21138;;;;;;;;;;;;
15.06.2018;;21100;;;;;;;;;;;;
18.06.2018;;21100;;;;;;;;;;;;
19.06.2018;;20252;;;;;;;;;;;;
20.06.2018;20729;20876;21814;22310;18194;21250;;1;16;559684;27;41752;2;
21.06.2018;;21000;;;;;;;;;;42000;2;
22.06.2018;;21142;;;;;;;;;;42284;2;
25.06.2018;21739;20800;21739;21739;21739;21739;;1;1;21739;1;41600;2;
26.06.2018;21693;21675;21693;21693;21693;21693;-0,21;1;1;21693;1;86700;4;
27.06.2018;;21316;;;;;;;;;;85264;4;
28.06.2018;;21407;;;;;;;;;;85628;4;
29.06.2018;;22800;;;;;;;;;;91200;4;
02.07.2018;;23197;;;;;;;;;;92788;4;
03.07.2018;;22868;;;;;;;;;;91472;4;
04.07.2018;;22790;;;;;;;;;;91160;4;
05.07.2018;22623;23000;22246;23000;22246;23000;;1;2;45246;2;92000;4;
06.07.2018;;23593;;;;;;;;;;94372;4;
09.07.2018;23593;24140;23593;23593;23593;23593;;1;1;23593;1;144840;6;
10.07.2018;;24128;;;;;;;;;;144768;6;
11.07.2018;;23752;;;;;;;;;;142512;6;
12.07.2018;;23721;;;;;;;;;;142326;6;
13.07.2018;;24021;;;;;;;;;;144126;6;
16.07.2018;;23813;;;;;;;;;;142878;6;
17.07.2018;;23323;;;;;;;;;;139938;6;
18.07.2018;;22574;;;;;;;;;;135444;6;
19.07.2018;;21680;;;;;;;;;;130080;6;
20.07.2018;;21418;;;;;;;;;;128508;6;
23.07.2018;;21708;;;;;;;;;;130248;6;
24.07.2018;22000;22451;22000;22000;22000;22000;;1;2;44000;2;224510;10;
25.07.2018;21975;21970;21979;21979;21970;21970;-0,14;1;2;43949;2;307580;14;
26.07.2018;;21866;;;;;;;;;;306124;14;
27.07.2018;21700;21755;21700;21700;21700;21700;;1;1;21700;1;261060;12;
30.07.2018;;21966;;;;;;;;;;263592;12;
31.07.2018;;22343;;;;;;;;;;268116;12;
01.08.2018;;21944;;;;;;;;;;263328;12;
02.08.2018;;21482;;;;;;;;;;257784;12;
03.08.2018;21300;21065;21300;21300;21300;21300;;1;2;42600;2;252780;12;
06.08.2018;21300;21161;21300;21300;21300;21300;;1;2;42600;2;253932;12;
07.08.2018;;21016;;;;;;;;;;252192;12;
08.08.2018;20900;19953;20900;20900;20900;20900;;1;1;20900;1;279342;14;
09.08.2018;19641;20261;19641;19641;19641;19641;-6,02;1;1;19641;1;324176;16;
10.08.2018;;19289;;;;;;;;;;308624;16;
13.08.2018;19500;19770;19500;19500;19500;19500;;1;2;39000;2;316320;16;
14.08.2018;;19947;;;;;;;;;;319152;16;
15.08.2018;;19558;;;;;;;;;;312928;16;
16.08.2018;;19984;;;;;;;;;;319744;16;
17.08.2018;20000;19768;20000;20000;20000;20000;;1;2;40000;2;316288;16;
20.08.2018;20369;19893;20369;20369;20369;20369;1,84;1;1;20369;1;358074;18;
21.08.2018;;19960;;;;;;;;;;359280;18;
22.08.2018;19745;19551;19745;19745;19745;19745;;1;1;19745;1;312816;16;
23.08.2018;;18588;;;;;;;;;;297408;16;
24.08.2018;;18666;;;;;;;;;;298656;16;
27.08.2018;19000;19000;19000;19000;19000;19000;;1;2;38000;2;304000;16;
28.08.2018;;18912;;;;;;;;;;302592;16;
29.08.2018;;19027;;;;;;;;;;304432;16;
30.08.2018;;18460;;;;;;;;;;295360;16;
31.08.2018;;18783;;;;;;;;;;300528;16;
03.09.2018;;18779;;;;;;;;;;300464;16;
04.09.2018;;18576;;;;;;;;;;297216;16;
05.09.2018;;18502;;;;;;;;;;296032;16;
06.09.2018;;18151;;;;;;;;;;290416;16;
07.09.2018;;18099;;;;;;;;;;289584;16;
10.09.2018;;17724;;;;;;;;;;283584;16;
11.09.2018;;17413;;;;;;;;;;278608;16;
12.09.2018;17937;18334;18000;18400;16829;18334;;1;6;125562;7;440016;24;
13.09.2018;19167;18971;19046;19500;18879;19024;3,76;1;7;134166;7;455304;24;
14.09.2018;;19499;;;;;;;;;;467976;24;
17.09.2018;18712;19433;18883;18883;18626;18626;;1;3;56135;3;427526;22;
18.09.2018;19500;19837;19500;19500;19500;19500;4,69;2;3;78000;4;515762;26;
19.09.2018;;19937;;;;;;;;;;518362;26;
20.09.2018;;19850;;;;;;;;;;516100;26;
21.09.2018;19839;19846;20000;20000;19677;19677;;1;2;39677;2;515996;26;
24.09.2018;19802;20291;19754;19850;19754;19850;0,88;1;2;39604;2;568148;28;
25.09.2018;20445;20233;20445;20445;20445;20445;3,00;1;1;20445;1;566524;28;
26.09.2018;20000;20000;20000;20000;20000;20000;-2,18;5;6;200000;10;840000;42;
27.09.2018;20198;20207;20198;20198;20198;20198;0,99;1;1;20198;1;848694;42;
28.09.2018;;20900;;;;;;;;;;877800;42;
01.10.2018;21480;20960;21480;21480;21480;21480;;1;1;21480;1;922240;44;
02.10.2018;20512;20505;20525;20525;20505;20505;-4,54;1;4;123070;6;861210;42;
03.10.2018;20103;19925;20119;21174;19108;19667;-4,09;1;10;301541;15;876700;44;
04.10.2018;19993;19545;20069;20069;19945;19945;1,41;1;6;119956;6;977250;50;
05.10.2018;19845;19350;19970;19971;19555;19899;-0,23;2;13;496124;25;1586700;82;
08.10.2018;19605;19813;19300;19847;19300;19847;-0,26;1;5;98024;5;1743544;88;
09.10.2018;20440;20029;20050;20811;20029;20029;0,92;1;15;613203;30;1962842;98;
10.10.2018;20175;20247;20227;20376;19737;20247;1,09;1;6;121052;6;1984206;98;
11.10.2018;19425;19116;19552;20118;18700;20118;-0,64;1;30;1495724;77;2905632;152;
12.10.2018;20245;20354;20102;20354;20102;20354;1,17;3;16;404907;20;3907968;192;
15.10.2018;;19815;;;;;;;;;;3804480;192;
16.10.2018;20487;20449;20484;20500;20449;20449;;1;5;102433;5;3803514;186;
17.10.2018;20922;20556;20914;20929;20914;20929;2,35;1;2;41843;2;3905640;190;
18.10.2018;;19837;;;;;;;;;;3769030;190;
19.10.2018;19635;19552;19837;19837;19552;19552;;1;5;98174;5;3714880;190;
22.10.2018;19002;18627;19391;19538;18800;19538;-0,07;1;15;570055;30;2943066;158;
23.10.2018;19047;18627;19000;19094;19000;19094;-2,27;2;3;76188;4;2868558;154;
24.10.2018;19516;19899;19334;19937;18944;19937;4,42;2;14;565961;29;3820608;192;
25.10.2018;19100;19154;19610;19610;18730;19437;-2,51;1;20;381992;20;3639260;190;
26.10.2018;;18547;;;;;;;;;;3523930;190;
29.10.2018;19292;19414;19292;19292;19292;19292;;1;1;19292;1;3727488;192;
30.10.2018;19479;19236;19500;19589;19236;19236;-0,29;1;3;77914;4;3770256;196;
31.10.2018;;19806;;;;;;;;;;3881976;196;
01.11.2018;;19801;;;;;;;;;;3880996;196;
02.11.2018;19859;19859;19859;19859;19859;19859;;1;1;19859;1;3892364;196;
06.11.2018;20287;20556;20129;20556;20100;20556;3,51;2;4;121724;6;4152312;202;
07.11.2018;;21116;;;;;;;;;;4265432;202;
08.11.2018;;21214;;;;;;;;;;4285228;202;
09.11.2018;;20503;;;;;;;;;;4141606;202;
12.11.2018;;20630;;;;;;;;;;4167260;202;
13.11.2018;;20621;;;;;;;;;;4165442;202;
14.11.2018;20339;20475;20339;20339;20339;20339;;1;1;20339;1;4135950;202;
15.11.2018;;20902;;;;;;;;;;4222204;202;
16.11.2018;21393;20949;21393;21393;21393;21393;;2;1;42786;2;4315494;206;
19.11.2018;;20653;;;;;;;;;;4254518;206;
20.11.2018;;20195;;;;;;;;;;4160170;206;
21.11.2018;20319;20361;20319;20319;20319;20319;;1;1;20319;1;4153644;204;
22.11.2018;;20802;;;;;;;;;;4243608;204;
23.11.2018;20212;20227;20212;20212;20212;20212;;1;1;20212;1;4085854;202;
26.11.2018;19996;19708;20133;20133;19675;19718;-2,44;5;6;419920;21;4729920;240;
27.11.2018;;19900;;;;;;;;;;4776000;240;
28.11.2018;;19786;;;;;;;;;;4748640;240;
29.11.2018;20382;20382;20382;20382;20382;20382;;1;1;20382;1;4932444;242;
30.11.2018;;20110;;;;;;;;;;4866620;242;
03.12.2018;20567;20801;20333;20801;20333;20801;;1;2;41134;2;5033842;242;
04.12.2018;;20632;;;;;;;;;;4992944;242;
05.12.2018;20225;20225;20225;20225;20225;20225;;1;1;20225;1;4894450;242;
06.12.2018;;19983;;;;;;;;;;4835886;242;
07.12.2018;20925;20267;20240;21821;20240;20267;;1;6;292949;14;5309954;262;
10.12.2018;20160;19856;20321;20732;19856;19856;-2,03;1;7;161277;8;5440544;274;
11.12.2018;19795;20140;19500;20140;19500;20140;1,43;1;3;59385;3;5518360;274;
12.12.2018;20153;19942;20189;20267;19955;19955;-0,92;1;14;503822;25;6381440;320;
13.12.2018;19841;19800;19700;20500;19700;19800;-0,78;3;11;396820;20;6534000;330;
14.12.2018;19418;19223;19812;19812;19220;19223;-2,91;1;10;194182;10;6343590;330;
17.12.2018;19370;18901;19500;19500;18901;18901;-1,68;3;9;368036;19;6804360;360;
18.12.2018;19070;19376;19100;19266;19012;19266;1,93;1;13;495829;26;7014112;362;
19.12.2018;19255;19487;19200;19487;19113;19487;1,15;1;9;192553;10;7093268;364;
20.12.2018;19614;19632;19666;19765;19368;19682;1,00;1;6;117685;6;7146048;364;
21.12.2018;19367;19300;19498;19540;19201;19300;-1,94;1;15;1026434;53;7758600;402;
24.12.2018;19153;19097;19250;19343;19000;19107;-1,00;1;36;2413337;126;9166560;480;
25.12.2018;18846;18939;18950;19019;18634;18898;-1,09;7;41;4315785;229;11287644;596;
26.12.2018;19066;19012;19060;19227;19001;19012;0,60;7;11;1143963;60;12890136;678;
27.12.2018;19305;19204;19170;19450;19147;19205;1,02;1;16;1100357;57;14287776;744;
28.12.2018;19212;19244;19090;19350;19082;19300;0,50;2;17;1287198;67;12816504;666;
29.12.2018;19402;19239;19369;19520;19239;19239;-0,32;4;16;620849;32;13044042;678;
03.01.2019;19472;19391;19324;19660;19199;19565;1,69;4;18;623105;32;12875624;664;
04.01.2019;19578;19575;19421;19655;19400;19526;-0,20;15;79;10728641;548;29754000;1520;
08.01.2019;19584;19539;19805;19809;19520;19539;0,07;5;38;2859334;146;32395662;1658;
09.01.2019;19840;19978;19547;19994;19547;19989;2,30;1;82;10693678;539;51703064;2588;
10.01.2019;19747;19662;19895;19947;19608;19608;-1,91;1;39;1421799;72;49941480;2540;
11.01.2019;19697;19559;19687;19841;19550;19557;-0,26;1;44;13938043;705;49601624;2536;
14.01.2019;19480;19690;19500;19690;19364;19690;0,68;5;44;1597330;82;49697560;2524;
15.01.2019;19728;19775;19691;19821;19650;19775;0,43;2;16;611577;31;50188950;2538;
16.01.2019;19831;19982;19873;19984;19753;19984;1,06;5;84;4541200;229;54071292;2706;
17.01.2019;20026;20093;20000;20098;19900;20095;0,56;4;90;6928824;346;57023934;2838;
18.01.2019;20340;20585;20094;20590;20094;20590;2,46;3;63;3437393;169;59243630;2878;
21.01.2019;20657;20520;20600;20872;20501;20520;-0,34;2;77;4461865;216;60616080;2954;
22.01.2019;20530;20500;20520;20707;20408;20500;-0,10;5;67;5994728;292;66502000;3244;
23.01.2019;20785;20931;20500;21118;20470;20931;2,10;1;124;10267886;494;77947044;3724;
24.01.2019;20912;20944;20833;21088;20604;20944;0,06;1;48;2530304;121;78414336;3744;
25.01.2019;21176;20934;21100;21350;20906;20933;-0,05;1;49;2032871;96;79674804;3806;
28.01.2019;20692;20444;21041;21100;20255;20741;-0,92;2;86;5421401;262;78136968;3822;
29.01.2019;20920;20974;20573;21070;20573;20852;0,54;1;146;6422360;307;81169380;3870;
30.01.2019;21188;21100;21250;21450;20552;21100;1,19;7;165;9153136;432;83724800;3968;
31.01.2019;21450;21401;21003;21664;21003;21400;1,42;1;119;6306228;294;87102070;4070;
01.02.2019;21400;21336;21401;21642;21300;21336;-0,30;2;44;2375367;111;86453472;4052;
04.02.2019;21357;21350;21478;21539;21300;21350;0,07;2;22;1601803;75;88047400;4124;
05.02.2019;21567;21600;21356;21758;21300;21600;1,17;1;50;5132865;238;97459200;4512;
06.02.2019;21443;21409;21536;21644;21330;21425;-0,81;1;161;9306228;434;108714902;5078;
07.02.2019;21114;20892;21331;21484;20756;20892;-2,49;1;150;7305524;346;108053424;5172;
08.02.2019;20774;20700;20802;20996;20650;20700;-0,92;1;247;9847098;474;115216200;5566;
11.02.2019;20981;21049;20700;21112;20650;21049;1,69;1;69;3210116;153;119642516;5684;
12.02.2019;21338;21575;21117;21601;20763;21575;2,50;1;264;15214266;713;130010950;6026;
13.02.2019;21219;20985;21625;21761;20920;20985;-2,74;3;345;22364392;1054;130904430;6238;
14.02.2019;20388;20116;20924;21013;19836;20116;-4,14;12;448;22548858;1106;148737704;7394;
15.02.2019;20341;20354;20143;20497;20143;20354;1,18;1;286;11960479;588;151922256;7464;
18.02.2019;20108;20012;20398;20586;19910;20010;-1,69;1;241;6696037;333;152131224;7602;
19.02.2019;19981;19850;20197;20197;19750;20094;0,42;5;214;10130170;507;160070400;8064;
20.02.2019;20141;20193;19869;20532;19863;20199;0,52;1;328;18589751;923;169782744;8408;
21.02.2019;20211;19886;20234;20456;19850;19892;-1,52;1;281;14633029;724;176866084;8894;
22.02.2019;20063;20064;19946;20200;19928;20040;0,74;1;249;14063998;701;179733312;8958;
25.02.2019;20209;20142;20069;20445;19999;20142;0,51;1;402;22230345;1100;184943844;9182;
26.02.2019;20010;20053;20165;20165;19878;20100;-0,21;15;377;31655472;1582;217053672;10824;
27.02.2019;20030;19991;20139;20200;19905;19990;-0,55;1;350;15983946;798;224259038;11218;
28.02.2019;20087;20166;19988;20250;19911;20176;0,93;1;363;21292081;1060;240499716;11926;
01.03.2019;20225;20131;20001;20453;20000;20131;-0,22;1;546;55235535;2731;273540028;13588;
04.03.2019;20076;20061;20100;20231;19961;20049;-0,41;1;823;56614617;2820;348941034;17394;
05.03.2019;19820;19785;20002;20002;19666;19811;-1,19;1;1093;65267431;3293;428266110;21646;
06.03.2019;19788;19928;19840;19958;19632;19923;0,56;3;1281;145779319;7367;549135968;27556;
07.03.2019;19826;19767;19949;20062;19703;19734;-0,95;1;1139;99445840;5016;603881850;30550;
11.03.2019;19773;19870;19762;19898;19653;19875;0,72;10;2317;199690930;10099;697476740;35102;
12.03.2019;19913;19849;19883;20060;19778;19872;-0,02;1;3136;259849083;13049;892093456;44944;
13.03.2019;19864;19976;19856;20004;19791;20000;0,64;6;2684;250287095;12600;986255072;49372;
14.03.2019;19858;19733;20013;20045;19715;19745;-1,28;8;6927;3653683560;183975;7445773958;377326;
15.03.2019;19791;19740;19748;19850;19710;19760;0,08;1;4790;373369953;18866;7369257840;373316;
18.03.2019;19861;19873;19761;19959;19712;19889;0,65;3;12427;1174379468;59130;8261961274;415738;
19.03.2019;19949;19813;19909;20118;19761;19837;-0,26;9;26877;2938467449;147297;10076138906;508562;
20.03.2019;19927;20075;19843;20081;19750;20069;1,17;7;35209;3735188879;187446;12626773500;628980;
21.03.2019;20195;20042;20051;20343;19957;20072;0,02;1;81091;8146615232;403396;13369537192;667076;
22.03.2019;19913;19779;20077;20178;19672;19747;-1,62;3;100705;8725106809;438162;13186145046;666674;
25.03.2019;20136;20442;19727;20488;19600;20468;3,65;2;153127;15038234501;746830;14977403676;732678;
26.03.2019;20625;20804;20460;20852;20320;20790;1,57;25;144431;13322026413;645932;15090306224;725356;
27.03.2019;20651;20405;20812;20916;20381;20384;-1,95;1;138030;12485870398;604605;13297652830;651686;
28.03.2019;20451;20443;20387;20569;20337;20460;0,37;5;98117;8583263262;419707;13091329226;640382;
29.03.2019;20656;20439;20439;20884;20380;20412;-0,24;1;131667;12883573768;623722;12643074864;618576;
01.04.2019;20677;20781;20402;20829;20233;20813;1,96;1;102139;9620552188;465287;13076527374;629254;
02.04.2019;20843;20845;20813;20988;20659;20867;0,26;2;99843;9471241354;454414;12819133030;614974;
03.04.2019;21139;20873;20867;21416;20854;20879;0,06;9;146405;14194647042;671493;12899931460;618020;
04.04.2019;20971;21166;20862;21190;20705;21164;1,36;6;116156;10157780897;484400;13394437448;632828;
05.04.2019;21383;21669;21169;21689;21140;21679;2,43;27;107234;10688794703;499867;15038762718;694022;
08.04.2019;21883;22135;21670;22169;21646;22140;2,13;5;112218;10663749145;487315;15205505440;686944;
09.04.2019;22547;22694;22161;22799;22131;22679;2,44;1;170327;16625973044;737373;16022281716;706014;
10.04.2019;23130;23271;22660;23459;22631;23249;2,51;4;193828;20696845468;894818;15045073836;646516;
11.04.2019;23171;22769;23231;23620;22729;22737;-2,20;1;208299;23407705644;1010196;14301117824;628096;
12.04.2019;22876;22830;22726;23237;22624;22852;0,51;1;178744;18652882158;815379;14037801720;614884;
15.04.2019;22910;22741;22854;23200;22654;22726;-0,55;1;142907;14486437187;632327;13721601026;603386;
16.04.2019;22488;22248;22726;22944;22181;22250;-2,10;3;171284;18443195599;820138;14064473664;632168;
17.04.2019;22364;22355;22255;22561;22158;22400;0,67;1;147417;15488527301;692557;13924437690;622878;
18.04.2019;22184;22161;22397;22400;22023;22195;-0,92;1;133923;15101553848;680746;13682112756;617396;
19.04.2019;22224;22164;22175;22338;22130;22219;0,11;8;46120;7386803314;332257;13873644456;625954;
22.04.2019;22411;22473;22188;22568;22183;22466;1,11;1;122489;13455260347;600771;14824898748;659676;
23.04.2019;22512;22442;22462;22704;22334;22441;-0,11;4;150129;15253447312;677571;14759295488;657664;
24.04.2019;22443;22487;22440;22559;22303;22494;0,24;3;111886;10684000669;476040;14720844706;654638;
25.04.2019;22089;21699;22481;22521;21667;21688;-3,58;7;173417;18620237821;842924;15379296444;708756;
26.04.2019;21356;21165;21699;21745;21105;21180;-2,34;1;149221;15919106753;745417;15874808250;750050;
29.04.2019;21481;21761;21184;21792;21150;21790;2,88;30;125196;13941916387;649035;16094174468;739588;
30.04.2019;21501;21357;21775;21818;21251;21352;-2,01;5;130142;12997928963;604534;15157532754;709722;
