Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
11.09.2018;;17752;;;;;;;;;;;;
12.09.2018;;18314;;;;;;;;;;;;
13.09.2018;19171;19340;18131;21072;17384;20150;;1;15;575120;30;77360;4;
14.09.2018;;19758;;;;;;;;;;79032;4;
17.09.2018;18627;19811;18627;18627;18626;18626;;1;2;37253;2;;;
18.09.2018;19669;20223;20035;20827;18753;18753;0,68;1;9;432721;22;;;
19.09.2018;19361;20421;20541;20594;18289;20568;9,68;2;21;1974782;102;81684;4;
20.09.2018;19787;20050;20625;20695;18914;18914;-8,04;1;4;79149;4;40100;2;
21.09.2018;19940;20099;19940;19940;19940;19940;5,42;1;1;19940;1;80396;4;
24.09.2018;;20595;;;;;;;;;;82380;4;
25.09.2018;;20626;;;;;;;;;;82504;4;
26.09.2018;19124;20115;19320;19320;19001;19001;;2;3;76497;4;201150;10;
27.09.2018;;20498;;;;;;;;;;204980;10;
28.09.2018;21079;21043;21079;21079;21079;21079;;1;1;21079;1;252516;12;
01.10.2018;;20962;;;;;;;;;;251544;12;
02.10.2018;;20600;;;;;;;;;;247200;12;
03.10.2018;;20566;;;;;;;;;;246792;12;
04.10.2018;19221;19299;19218;19399;19200;19200;;2;12;288316;15;694764;36;
05.10.2018;19200;19200;19200;19200;19200;19200;;25;4;537600;28;1766400;92;
08.10.2018;19025;19000;19050;19050;19000;19000;-1,04;2;2;76100;4;1824000;96;
09.10.2018;19300;20122;19300;19300;19300;19300;1,58;2;1;38600;2;1851224;92;
10.10.2018;19773;19700;19800;19999;19700;19700;2,07;5;12;810678;41;3427800;174;
11.10.2018;19668;19599;19693;19850;19000;19850;0,76;6;10;354023;18;4037394;206;
12.10.2018;19862;19899;19650;19999;19650;19899;0,25;1;8;158893;8;4417578;222;
15.10.2018;20143;19982;21040;21040;19246;19246;-3,28;1;2;40286;2;4436004;222;
16.10.2018;19948;20539;19948;19948;19948;19948;3,65;1;1;19948;1;4600736;224;
17.10.2018;;20383;;;;;;;;;;4565792;224;
18.10.2018;20240;20240;20240;20240;20240;20240;;1;1;20240;1;4533760;224;
19.10.2018;19470;19258;19500;19500;19318;19318;-4,56;1;2;116818;6;4506372;234;
22.10.2018;;18916;;;;;;;;;;4426344;234;
23.10.2018;18704;18953;18724;18729;18700;18700;;7;6;243154;13;4662438;246;
24.10.2018;;19762;;;;;;;;;;4861452;246;
