Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
11.12.2018;;20052;;;;;;;;;;;;
12.12.2018;20125;19812;20620;21799;18390;19349;;1;47;2435107;121;118872;6;
13.12.2018;19579;19669;20898;20898;18558;18902;-2,31;1;16;352429;18;196690;10;
14.12.2018;;19168;;;;;;;;;;191680;10;
17.12.2018;;18899;;;;;;;;;;188990;10;
18.12.2018;;19222;;;;;;;;;;192220;10;
19.12.2018;;19489;;;;;;;;;;194890;10;
20.12.2018;19002;19633;18925;19695;18925;19695;;1;8;190020;10;549724;28;
21.12.2018;;19334;;;;;;;;;;541352;28;
24.12.2018;19134;19108;19325;19355;18500;18500;;1;8;210470;11;496808;26;
25.12.2018;18501;18800;18501;18501;18500;18500;;1;2;37001;2;526400;28;
26.12.2018;19341;19340;19341;19341;19340;19340;4,54;1;2;38681;2;541520;28;
27.12.2018;19095;19400;19000;19400;18878;19400;0,31;1;4;76379;4;504400;26;
28.12.2018;;19168;;;;;;;;;;498368;26;
29.12.2018;;19300;;;;;;;;;;501800;26;
03.01.2019;;19336;;;;;;;;;;502736;26;
04.01.2019;;19701;;;;;;;;;;512226;26;
08.01.2019;19436;19777;19095;19777;19095;19777;;1;2;38872;2;514202;26;
09.01.2019;19661;20168;20176;20176;19146;19146;-3,19;1;2;39322;2;484032;24;
10.01.2019;19472;19553;19472;19472;19472;19472;1,70;1;1;19472;1;508378;26;
11.01.2019;20127;20120;20127;20127;20127;20127;3,36;1;1;20127;1;523120;26;
14.01.2019;19562;20078;19225;19898;19225;19898;-1,14;1;2;39123;2;522028;26;
15.01.2019;;20224;;;;;;;;;;525824;26;
16.01.2019;;20459;;;;;;;;;;531934;26;
17.01.2019;;20482;;;;;;;;;;532532;26;
18.01.2019;19940;20302;19948;19948;19935;19935;;1;3;59820;3;527852;26;
21.01.2019;;20983;;;;;;;;;;545558;26;
22.01.2019;;21060;;;;;;;;;;547560;26;
23.01.2019;;21498;;;;;;;;;;558948;26;
24.01.2019;;21483;;;;;;;;;;558558;26;
25.01.2019;;21542;;;;;;;;;;560092;26;
28.01.2019;21418;21260;21372;21463;21372;21463;;1;2;42835;2;595280;28;
29.01.2019;;21351;;;;;;;;;;597828;28;
30.01.2019;;21448;;;;;;;;;;600544;28;
31.01.2019;;21778;;;;;;;;;;609784;28;
01.02.2019;22211;21266;22211;22211;22211;22211;;1;1;22211;1;595448;28;
04.02.2019;;21228;;;;;;;;;;594384;28;
05.02.2019;21667;21440;21836;21866;21300;21300;;1;3;65002;3;643200;30;
06.02.2019;21443;21734;21151;21734;21151;21734;2,04;1;2;42885;2;695488;32;
07.02.2019;21724;21457;21724;21724;21724;21724;-0,05;1;1;21724;1;686624;32;
08.02.2019;20603;20610;20601;20610;20601;20610;-5,13;1;3;82413;4;618300;30;
11.02.2019;21968;21795;21968;21968;21968;21968;6,59;1;1;21968;1;697440;32;
12.02.2019;21711;21613;21808;21808;21613;21613;-1,62;1;2;43421;2;734842;34;
13.02.2019;21473;21473;21473;21473;21473;21473;-0,65;1;1;21473;1;730082;34;
14.02.2019;20698;20730;21320;21320;20460;20730;-3,46;1;5;103490;5;787740;38;
15.02.2019;20816;20883;20700;20883;20700;20883;0,74;1;3;62449;3;793554;38;
18.02.2019;20604;20240;21062;21062;20240;20240;-3,08;1;7;144228;7;971520;48;
19.02.2019;20154;20010;20149;20345;20005;20005;-1,16;1;5;100772;5;960480;48;
20.02.2019;20550;20595;20467;20633;20467;20633;3,14;1;2;41100;2;1070940;52;
21.02.2019;20648;20517;20466;20850;20466;20517;-0,56;1;6;123889;6;1189986;58;
22.02.2019;20483;20483;20483;20483;20483;20483;-0,17;1;1;20483;1;1228980;60;
25.02.2019;20110;20727;20519;20833;19701;20727;1,19;1;7;201104;10;1036350;50;
26.02.2019;;20132;;;;;;;;;;1006600;50;
27.02.2019;20505;20600;20266;20600;20266;20600;;5;3;143532;7;1277200;62;
28.02.2019;20265;20420;20180;20420;20180;20420;-0,87;1;5;243179;12;1184360;58;
01.03.2019;;20209;;;;;;;;;;1172122;58;
04.03.2019;;20175;;;;;;;;;;1170150;58;
05.03.2019;;20225;;;;;;;;;;1173050;58;
06.03.2019;20200;20200;20200;20200;20200;20200;;3;1;60600;3;1171600;58;
07.03.2019;20550;20440;20550;20550;20550;20550;1,73;3;1;61650;3;1185520;58;
11.03.2019;;20118;;;;;;;;;;1166844;58;
12.03.2019;;20063;;;;;;;;;;1163654;58;
13.03.2019;20576;20489;20576;20576;20576;20576;;1;1;20576;1;1188362;58;
14.03.2019;20009;20000;20064;20100;19950;19950;-3,04;4;4;140064;7;1360000;68;
15.03.2019;;20100;;;;;;;;;;1366800;68;
18.03.2019;;20117;;;;;;;;;;1367956;68;
19.03.2019;20342;20113;20261;20432;20073;20073;;2;12;589912;29;2333108;116;
20.03.2019;20289;20297;20231;20469;20200;20293;1,10;2;22;872436;43;3734648;184;
21.03.2019;20381;20315;20520;20520;20307;20315;0,11;1;3;61142;3;3778590;186;
22.03.2019;20292;20150;20320;20323;20150;20150;-0,81;1;8;162335;8;4030000;200;
25.03.2019;20528;20816;20114;20830;20092;20811;3,28;1;10;205282;10;4246464;204;
26.03.2019;21043;21219;20980;21470;20926;21166;1,71;1;33;1515076;72;5983758;282;
27.03.2019;21245;21077;21276;21276;21204;21244;0,37;1;12;616110;29;6154484;292;
28.03.2019;21163;21169;21030;21170;21030;21170;-0,35;4;5;783040;37;6223686;294;
29.03.2019;;21020;;;;;;;;;;6179880;294;
01.04.2019;;21347;;;;;;;;;;6276018;294;
02.04.2019;;21405;;;;;;;;;;6293070;294;
03.04.2019;21864;21675;21500;21924;21500;21919;;1;9;196778;9;6285750;290;
04.04.2019;21504;21795;21630;21795;21255;21795;-0,57;1;6;279548;13;6276960;288;
05.04.2019;21943;22115;21825;22180;21727;22091;1,36;1;17;724124;33;6988340;316;
08.04.2019;23772;22679;22559;24383;22270;22657;2,56;1;11;641832;27;6440836;284;
09.04.2019;23031;23369;23000;23369;23000;23369;3,14;1;37;2003728;87;9768242;418;
10.04.2019;23718;23910;23194;24139;23194;23910;2,32;1;24;1019888;43;11142060;466;
11.04.2019;23849;23516;24148;24150;23342;23342;-2,38;2;25;1287862;54;10252976;436;
12.04.2019;23594;23460;23342;23751;23342;23388;0,20;1;6;141562;6;10228560;436;
15.04.2019;23614;23410;23451;23779;23410;23410;0,09;1;12;944562;40;10066300;430;
16.04.2019;23282;23087;23450;23575;23087;23087;-1,38;1;12;302667;13;9788888;424;
17.04.2019;23000;23108;23100;23202;22910;23108;0,09;1;18;482990;21;10167520;440;
18.04.2019;23063;23005;23135;23135;23005;23005;-0,45;1;6;138380;6;9938160;432;
19.04.2019;23054;23084;23070;23147;23040;23147;0,62;1;6;1434094;62;9556776;414;
22.04.2019;;23041;;;;;;;;;;9538974;414;
23.04.2019;23385;23356;23300;23444;23300;23411;;1;3;70155;3;9669384;414;
24.04.2019;23055;23183;23045;23065;23045;23065;-1,48;1;2;46110;2;9597762;414;
